Season,Team,GP,W,L,WIN%,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PLUS_MINUS,Opponent,Opp_Rk,SOS,avg_age,avg_pts_top10,avg_production_score,injury_rate,Coach,Yw/Franch,YOverall,CareerW,CareerL,CareerW%,FirstRoundPicks,SecondRoundPicks,Coach_Count,Payroll,NWins,Rk,Home_W,Home_L,Road_W,Road_L,E_W,E_L,W_W,W_L,Pre-ASG_W,Pre-ASG_L,Post-ASG_W,Post-ASG_L
2016,Atlanta Hawks,82,48.0,34.0,0.585,48.4,102.8,38.6,84.4,45.8,9.9,28.4,35.0,15.6,20.0,78.3,8.3,33.8,42.1,25.6,15.0,9.1,5.9,5.0,19.1,18.3,3.6,Philadelphia 76ers,27.0,0.3436787173321066,27.470588235294116,10.52,0.3775037521670788,0.3529411764705882,Mike Budenholzer,3,3,146,100,0.593,1.0,2.0,1,71661760.0,48.0,9,27,14,21,20,29,23,19,11,31,24,17,10
2016,Atlanta Hawks,82,48.0,34.0,0.585,48.4,102.8,38.6,84.4,45.8,9.9,28.4,35.0,15.6,20.0,78.3,8.3,33.8,42.1,25.6,15.0,9.1,5.9,5.0,19.1,18.3,3.6,Washington Wizards,9.0,0.3436787173321066,27.470588235294116,10.52,0.3775037521670788,0.3529411764705882,Mike Budenholzer,3,3,146,100,0.593,1.0,2.0,1,71661760.0,48.0,9,27,14,21,20,29,23,19,11,31,24,17,10
2016,Atlanta Hawks,82,48.0,34.0,0.585,48.4,102.8,38.6,84.4,45.8,9.9,28.4,35.0,15.6,20.0,78.3,8.3,33.8,42.1,25.6,15.0,9.1,5.9,5.0,19.1,18.3,3.6,Cleveland Cavaliers,7.0,0.3436787173321066,27.470588235294116,10.52,0.3775037521670788,0.3529411764705882,Mike Budenholzer,3,3,146,100,0.593,1.0,2.0,1,71661760.0,48.0,9,27,14,21,20,29,23,19,11,31,24,17,10
2016,Atlanta Hawks,82,48.0,34.0,0.585,48.4,102.8,38.6,84.4,45.8,9.9,28.4,35.0,15.6,20.0,78.3,8.3,33.8,42.1,25.6,15.0,9.1,5.9,5.0,19.1,18.3,3.6,Miami Heat,10.0,0.3436787173321066,27.470588235294116,10.52,0.3775037521670788,0.3529411764705882,Mike Budenholzer,3,3,146,100,0.593,1.0,2.0,1,71661760.0,48.0,9,27,14,21,20,29,23,19,11,31,24,17,10
2016,Atlanta Hawks,82,48.0,34.0,0.585,48.4,102.8,38.6,84.4,45.8,9.9,28.4,35.0,15.6,20.0,78.3,8.3,33.8,42.1,25.6,15.0,9.1,5.9,5.0,19.1,18.3,3.6,Charlotte Hornets,15.0,0.3436787173321066,27.470588235294116,10.52,0.3775037521670788,0.3529411764705882,Mike Budenholzer,3,3,146,100,0.593,1.0,2.0,1,71661760.0,48.0,9,27,14,21,20,29,23,19,11,31,24,17,10
2016,Atlanta Hawks,82,48.0,34.0,0.585,48.4,102.8,38.6,84.4,45.8,9.9,28.4,35.0,15.6,20.0,78.3,8.3,33.8,42.1,25.6,15.0,9.1,5.9,5.0,19.1,18.3,3.6,New York Knicks,24.0,0.3436787173321066,27.470588235294116,10.52,0.3775037521670788,0.3529411764705882,Mike Budenholzer,3,3,146,100,0.593,1.0,2.0,1,71661760.0,48.0,9,27,14,21,20,29,23,19,11,31,24,17,10
2016,Atlanta Hawks,82,48.0,34.0,0.585,48.4,102.8,38.6,84.4,45.8,9.9,28.4,35.0,15.6,20.0,78.3,8.3,33.8,42.1,25.6,15.0,9.1,5.9,5.0,19.1,18.3,3.6,Indiana Pacers,16.0,0.3436787173321066,27.470588235294116,10.52,0.3775037521670788,0.3529411764705882,Mike Budenholzer,3,3,146,100,0.593,1.0,2.0,1,71661760.0,48.0,9,27,14,21,20,29,23,19,11,31,24,17,10
2016,Atlanta Hawks,82,48.0,34.0,0.585,48.4,102.8,38.6,84.4,45.8,9.9,28.4,35.0,15.6,20.0,78.3,8.3,33.8,42.1,25.6,15.0,9.1,5.9,5.0,19.1,18.3,3.6,Utah Jazz,6.0,0.3436787173321066,27.470588235294116,10.52,0.3775037521670788,0.3529411764705882,Mike Budenholzer,3,3,146,100,0.593,1.0,2.0,1,71661760.0,48.0,9,27,14,21,20,29,23,19,11,31,24,17,10
2016,Atlanta Hawks,82,48.0,34.0,0.585,48.4,102.8,38.6,84.4,45.8,9.9,28.4,35.0,15.6,20.0,78.3,8.3,33.8,42.1,25.6,15.0,9.1,5.9,5.0,19.1,18.3,3.6,Los Angeles Lakers,30.0,0.3436787173321066,27.470588235294116,10.52,0.3775037521670788,0.3529411764705882,Mike Budenholzer,3,3,146,100,0.593,1.0,2.0,1,71661760.0,48.0,9,27,14,21,20,29,23,19,11,31,24,17,10
2016,Atlanta Hawks,82,48.0,34.0,0.585,48.4,102.8,38.6,84.4,45.8,9.9,28.4,35.0,15.6,20.0,78.3,8.3,33.8,42.1,25.6,15.0,9.1,5.9,5.0,19.1,18.3,3.6,Golden State Warriors,1.0,0.3436787173321066,27.470588235294116,10.52,0.3775037521670788,0.3529411764705882,Mike Budenholzer,3,3,146,100,0.593,1.0,2.0,1,71661760.0,48.0,9,27,14,21,20,29,23,19,11,31,24,17,10
