Season,Team,W,Pred_NWins,W,L,WIN%,PLUS_MINUS,Home_W,Home_L,SOS,FirstRoundPicks
2025,Atlanta Hawks,40.0,35.0,40.0,42.0,0.488,-1.1,21.0,19.0,0.4950121951219511,2.0
2025,Boston Celtics,61.0,50.0,61.0,21.0,0.744,9.1,28.0,13.0,0.4791097560975609,1.0
2025,Brooklyn Nets,26.0,31.0,26.0,56.0,0.317,-7.1,29.0,12.0,0.5072073170731707,4.0
2025,Charlotte Hornets,19.0,31.0,19.0,63.0,0.232,-9.1,29.0,12.0,0.5040853658536585,1.0
2025,Chicago Bulls,39.0,40.0,39.0,43.0,0.476,-1.6,18.0,23.0,0.4957560975609756,1.0
2025,Cleveland Cavaliers,64.0,56.0,64.0,18.0,0.78,9.5,34.0,7.0,0.4828536585365854,0.0
2025,Dallas Mavericks,39.0,43.0,39.0,43.0,0.476,-1.2,22.0,18.0,0.5092560975609756,1.0
2025,Denver Nuggets,50.0,42.0,50.0,32.0,0.61,3.9,26.0,15.0,0.4988658536585365,0.0
2025,Detroit Pistons,44.0,47.0,44.0,38.0,0.537,1.9,22.0,19.0,0.4996097560975608,0.0
2025,Golden State Warriors,48.0,41.0,48.0,34.0,0.585,3.3,24.0,17.0,0.5043902439024389,0.0
2025,Houston Rockets,52.0,49.0,52.0,30.0,0.634,4.5,29.0,12.0,0.5079390243902437,1.0
2025,Indiana Pacers,50.0,48.0,50.0,32.0,0.61,2.2,29.0,12.0,0.4854878048780487,1.0
2025,Los Angeles Clippers,50.0,47.0,50.0,32.0,0.61,4.7,30.0,11.0,0.5030243902439023,1.0
2025,Los Angeles Lakers,50.0,44.0,50.0,32.0,0.61,1.2,31.0,10.0,0.4991585365853657,0.0
2025,Memphis Grizzlies,48.0,50.0,48.0,34.0,0.585,4.9,26.0,15.0,0.4975365853658536,1.0
2025,Miami Heat,37.0,41.0,37.0,45.0,0.451,0.6,19.0,22.0,0.4932560975609755,1.0
2025,Milwaukee Bucks,48.0,44.0,48.0,34.0,0.585,2.5,28.0,14.0,0.4928048780487803,0.0
2025,Minnesota Timberwolves,49.0,50.0,49.0,33.0,0.598,5.0,25.0,16.0,0.5030121951219512,1.0
2025,New Orleans Pelicans,21.0,27.0,21.0,61.0,0.256,-9.4,14.0,27.0,0.5205853658536584,1.0
2025,New York Knicks,51.0,45.0,51.0,31.0,0.622,4.1,27.0,14.0,0.4889268292682927,0.0
2025,Oklahoma City Thunder,68.0,49.0,68.0,14.0,0.829,12.9,36.0,6.0,0.4920365853658536,2.0
2025,Orlando Magic,41.0,41.0,41.0,41.0,0.5,-0.1,22.0,19.0,0.4866951219512194,1.0
2025,Philadelphia 76ers,24.0,34.0,24.0,58.0,0.293,-6.2,29.0,12.0,0.5030365853658535,1.0
2025,Phoenix Suns,36.0,38.0,36.0,46.0,0.439,-3.0,24.0,17.0,0.5082439024390243,1.0
2025,Portland Trail Blazers,36.0,37.0,36.0,46.0,0.439,-3.0,22.0,19.0,0.5048292682926828,1.0
2025,Sacramento Kings,40.0,47.0,40.0,42.0,0.488,0.5,20.0,21.0,0.5010975609756098,0.0
2025,San Antonio Spurs,34.0,33.0,34.0,48.0,0.415,-2.8,20.0,21.0,0.5054024390243902,2.0
2025,Toronto Raptors,30.0,37.0,30.0,52.0,0.366,-4.3,18.0,23.0,0.5008170731707317,1.0
2025,Utah Jazz,17.0,26.0,17.0,65.0,0.207,-9.3,31.0,10.0,0.5217926829268291,2.0
2025,Washington Wizards,18.0,27.0,18.0,64.0,0.22,-12.4,8.0,33.0,0.510170731707317,2.0
