Coach,Tm,Yw/Franch,YOverall,CareerW,CareerL,CareerW%,Season
Quin Snyder,ATL,3,11,458,363,0.558,2025
Joe Mazzulla,BOS,3,3,182,64,0.74,2025
Jordi Fernandez,BRK,1,1,26,56,0.317,2025
Billy Donovan,CHI,5,10,438,362,0.548,2025
Charles Lee,CHO,1,1,19,63,0.232,2025
Kenny Atkinson,CLE,1,5,182,208,0.467,2025
Jason Kidd,DAL,4,9,362,339,0.516,2025
Michael Malone,DEN,10,12,510,394,0.564,2025
David Adelman,DEN,1,1,3,0,1.0,2025
J.B. Bickerstaff,DET,1,9,299,328,0.477,2025
Steve Kerr,GSW,11,11,567,308,0.648,2025
Ime Udoka,HOU,2,3,144,102,0.585,2025
Rick Carlisle,IND,8,23,993,860,0.536,2025
Tyronn Lue,LAC,5,9,362,249,0.592,2025
JJ Redick,LAL,1,1,50,32,0.61,2025
Taylor Jenkins,MEM,6,6,250,214,0.539,2025
Tuomas Iisalo,MEM,1,1,4,5,0.444,2025
Erik Spoelstra,MIA,17,17,787,572,0.579,2025
Doc Rivers,MIL,2,26,1162,816,0.587,2025
Chris Finch,MIN,5,5,209,160,0.566,2025
Willie Green,NOP,4,4,148,180,0.451,2025
Tom Thibodeau,NYK,5,13,578,420,0.579,2025
Mark Daigneault,OKC,5,5,211,189,0.528,2025
Jamahl Mosley,ORL,4,4,144,184,0.439,2025
Nick Nurse,PHI,2,7,298,256,0.538,2025
Mike Budenholzer,PHO,1,11,520,363,0.589,2025
Chauncey Billups,POR,4,4,117,211,0.357,2025
Mike Brown,SAC,3,11,454,304,0.599,2025
Doug Christie,SAC,1,1,27,24,0.529,2025
Gregg Popovich,SAS,29,29,1390,824,0.628,2025
Mitch Johnson,SAS,1,1,32,45,0.416,2025
Darko Rajakovic,TOR,2,2,55,109,0.335,2025
Will Hardy,UTA,3,3,85,161,0.346,2025
Brian Keefe,WAS,2,2,26,95,0.215,2025
Quin Snyder,ATL,2,10,418,321,0.566,2024
Joe Mazzulla,BOS,2,2,121,43,0.738,2024
Jacque Vaughn,BRK,3,6,129,226,0.363,2024
Kevin Ollie,BRK,1,1,11,17,0.393,2024
Billy Donovan,CHI,4,9,399,319,0.556,2024
Steve Clifford,CHO,7,10,340,461,0.424,2024
J.B. Bickerstaff,CLE,5,8,255,290,0.468,2024
Jason Kidd,DAL,3,8,323,296,0.522,2024
Michael Malone,DEN,9,11,463,362,0.561,2024
Monty Williams,DET,1,10,381,404,0.485,2024
Steve Kerr,GSW,10,10,519,274,0.654,2024
Ime Udoka,HOU,1,2,92,72,0.561,2024
Rick Carlisle,IND,7,22,943,828,0.532,2024
Tyronn Lue,LAC,4,8,312,217,0.59,2024
Darvin Ham,LAL,2,2,90,74,0.549,2024
Taylor Jenkins,MEM,5,5,206,185,0.527,2024
Erik Spoelstra,MIA,16,16,750,527,0.587,2024
Adrian Griffin,MIL,1,1,30,13,0.698,2024
Joe Prunty,MIL,2,3,25,17,0.595,2024
Doc Rivers,MIL,1,25,1114,782,0.588,2024
Chris Finch,MIN,4,4,160,127,0.557,2024
Willie Green,NOP,3,3,127,119,0.516,2024
Tom Thibodeau,NYK,4,12,527,389,0.575,2024
Mark Daigneault,OKC,4,4,143,175,0.45,2024
Jamahl Mosley,ORL,3,3,103,143,0.419,2024
Nick Nurse,PHI,1,6,274,198,0.581,2024
Frank Vogel,PHO,1,12,480,422,0.532,2024
Chauncey Billups,POR,3,3,81,165,0.329,2024
Mike Brown,SAC,2,10,441,286,0.607,2024
Gregg Popovich,SAS,28,28,1388,821,0.628,2024
Darko Rajakovic,TOR,1,1,25,57,0.305,2024
Will Hardy,UTA,2,2,68,96,0.415,2024
Wes Unseld,WAS,3,3,77,130,0.372,2024
Brian Keefe,WAS,1,1,8,31,0.205,2024
Nate McMillan,ATL,3,19,760,668,0.532,2023
Joe Prunty,ATL,1,2,23,16,0.59,2023
Quin Snyder,ATL,1,9,382,275,0.581,2023
Joe Mazzulla,BOS,1,1,57,25,0.695,2023
Steve Nash,BRK,3,3,94,67,0.584,2023
Jacque Vaughn,BRK,2,5,108,193,0.359,2023
Billy Donovan,CHI,3,8,360,276,0.566,2023
Steve Clifford,CHO,6,9,319,400,0.444,2023
J.B. Bickerstaff,CLE,4,7,207,256,0.447,2023
Jason Kidd,DAL,2,7,273,264,0.508,2023
Michael Malone,DEN,8,10,406,337,0.546,2023
Dwane Casey,DET,5,14,494,570,0.464,2023
Steve Kerr,GSW,9,9,473,238,0.665,2023
Stephen Silas,HOU,3,3,59,177,0.25,2023
Rick Carlisle,IND,6,21,896,793,0.53,2023
Tyronn Lue,LAC,3,7,261,186,0.584,2023
Darvin Ham,LAL,1,1,43,39,0.524,2023
Taylor Jenkins,MEM,4,4,179,130,0.579,2023
Erik Spoelstra,MIA,15,15,704,491,0.589,2023
Mike Budenholzer,MIL,5,10,484,317,0.604,2023
Chris Finch,MIN,3,3,104,101,0.507,2023
Willie Green,NOP,2,2,78,86,0.476,2023
Tom Thibodeau,NYK,3,11,477,357,0.572,2023
Mark Daigneault,OKC,3,3,86,150,0.364,2023
Jamahl Mosley,ORL,2,2,56,108,0.341,2023
Doc Rivers,PHI,3,24,1097,763,0.59,2023
Monty Williams,PHO,4,9,367,336,0.522,2023
Chauncey Billups,POR,2,2,60,104,0.366,2023
Mike Brown,SAC,1,9,395,250,0.612,2023
Gregg Popovich,SAS,27,27,1366,761,0.642,2023
Nick Nurse,TOR,5,5,227,163,0.582,2023
Will Hardy,UTA,1,1,37,45,0.451,2023
Wes Unseld,WAS,2,2,70,94,0.427,2023
Nate McMillan,ATL,2,18,731,638,0.534,2022
Ime Udoka,BOS,1,1,51,31,0.622,2022
Steve Nash,BRK,2,2,92,62,0.597,2022
Billy Donovan,CHI,2,7,320,234,0.578,2022
James Borrego,CHO,4,5,148,183,0.447,2022
J.B. Bickerstaff,CLE,3,6,156,225,0.409,2022
Jason Kidd,DAL,1,6,235,220,0.516,2022
Michael Malone,DEN,7,9,353,308,0.534,2022
Dwane Casey,DET,4,13,477,505,0.486,2022
Steve Kerr,GSW,8,8,429,200,0.682,2022
Stephen Silas,HOU,2,2,37,117,0.24,2022
Rick Carlisle,IND,5,20,861,746,0.536,2022
Tyronn Lue,LAC,2,6,217,148,0.595,2022
Frank Vogel,LAL,3,11,431,389,0.526,2022
Taylor Jenkins,MEM,3,3,128,99,0.564,2022
Erik Spoelstra,MIA,14,14,660,453,0.593,2022
Mike Budenholzer,MIL,4,9,426,293,0.592,2022
Chris Finch,MIN,2,2,62,61,0.504,2022
Willie Green,NOP,1,1,36,46,0.439,2022
Tom Thibodeau,NYK,2,10,430,322,0.572,2022
Mark Daigneault,OKC,2,2,46,108,0.299,2022
Jamahl Mosley,ORL,1,1,22,60,0.268,2022
Doc Rivers,PHI,2,23,1043,735,0.587,2022
Monty Williams,PHO,3,8,322,299,0.519,2022
Chauncey Billups,POR,1,1,27,55,0.329,2022
Luke Walton,SAC,3,6,166,241,0.408,2022
Alvin Gentry,SAC,1,18,534,636,0.456,2022
Gregg Popovich,SAS,26,26,1344,701,0.657,2022
Nick Nurse,TOR,4,4,186,122,0.604,2022
Quin Snyder,UTA,8,8,372,264,0.585,2022
Wes Unseld,WAS,1,1,35,47,0.427,2022
Lloyd Pierce,ATL,3,3,63,120,0.344,2021
Nate McMillan,ATL,1,17,688,599,0.535,2021
Brad Stevens,BOS,8,8,354,282,0.557,2021
Steve Nash,BRK,1,1,48,24,0.667,2021
Billy Donovan,CHI,1,6,274,198,0.581,2021
James Borrego,CHO,3,4,105,144,0.422,2021
J.B. Bickerstaff,CLE,2,5,112,187,0.375,2021
Rick Carlisle,DAL,13,19,836,689,0.548,2021
Michael Malone,DEN,6,8,305,274,0.527,2021
Dwane Casey,DET,3,12,454,446,0.504,2021
Steve Kerr,GSW,7,7,376,171,0.687,2021
Stephen Silas,HOU,1,1,17,55,0.236,2021
Nate Bjorkgren,IND,1,1,34,38,0.472,2021
Tyronn Lue,LAC,1,5,175,108,0.618,2021
Frank Vogel,LAL,2,10,398,340,0.539,2021
Taylor Jenkins,MEM,2,2,72,73,0.497,2021
Erik Spoelstra,MIA,13,13,607,424,0.589,2021
Mike Budenholzer,MIL,3,8,375,262,0.589,2021
Ryan Saunders,MIN,3,3,43,94,0.314,2021
Chris Finch,MIN,1,1,16,25,0.39,2021
Stan Van Gundy,NOP,1,13,554,425,0.566,2021
Tom Thibodeau,NYK,1,9,393,277,0.587,2021
Mark Daigneault,OKC,1,1,22,50,0.306,2021
Steve Clifford,ORL,3,8,292,345,0.458,2021
Doc Rivers,PHI,1,22,992,704,0.585,2021
Monty Williams,PHO,2,7,258,281,0.479,2021
Terry Stotts,POR,9,13,517,486,0.515,2021
Luke Walton,SAC,2,5,160,230,0.41,2021
Gregg Popovich,SAS,25,25,1310,653,0.667,2021
Nick Nurse,TOR,3,3,138,88,0.611,2021
Quin Snyder,UTA,7,7,323,231,0.583,2021
Scott Brooks,WAS,5,12,521,414,0.557,2021
Lloyd Pierce,ATL,2,2,49,100,0.329,2020
Brad Stevens,BOS,7,7,318,246,0.564,2020
Kenny Atkinson,BRK,4,4,118,190,0.383,2020
Jacque Vaughn,BRK,1,4,65,161,0.288,2020
Jim Boylen,CHI,2,2,39,84,0.317,2020
James Borrego,CHO,2,3,72,105,0.407,2020
John Beilein,CLE,1,1,14,40,0.259,2020
J.B. Bickerstaff,CLE,1,4,90,137,0.396,2020
Rick Carlisle,DAL,12,18,794,659,0.546,2020
Michael Malone,DEN,5,7,258,249,0.509,2020
Dwane Casey,DET,2,11,434,394,0.524,2020
Steve Kerr,GSW,6,6,337,138,0.709,2020
Mike D'Antoni,HOU,4,16,672,527,0.56,2020
Nate McMillan,IND,4,16,661,588,0.529,2020
Doc Rivers,LAC,7,21,943,681,0.581,2020
Frank Vogel,LAL,1,9,356,310,0.535,2020
Taylor Jenkins,MEM,1,1,34,39,0.466,2020
Erik Spoelstra,MIA,12,12,567,392,0.591,2020
Mike Budenholzer,MIL,2,7,329,236,0.582,2020
Ryan Saunders,MIN,2,2,36,70,0.34,2020
Alvin Gentry,NOP,5,17,510,595,0.462,2020
David Fizdale,NYK,2,4,71,134,0.346,2020
Mike Miller,NYK,1,1,17,27,0.386,2020
Billy Donovan,OKC,5,5,243,157,0.608,2020
Steve Clifford,ORL,2,7,271,294,0.48,2020
Brett Brown,PHI,7,7,221,344,0.391,2020
Monty Williams,PHO,1,6,207,260,0.443,2020
Terry Stotts,POR,8,12,475,456,0.51,2020
Luke Walton,SAC,1,4,129,189,0.406,2020
Gregg Popovich,SAS,24,24,1277,614,0.675,2020
Nick Nurse,TOR,2,2,111,43,0.721,2020
Quin Snyder,UTA,6,6,271,211,0.562,2020
Scott Brooks,WAS,4,11,487,376,0.564,2020
Lloyd Pierce,ATL,1,1,29,53,0.354,2019
Brad Stevens,BOS,6,6,270,222,0.549,2019
Kenny Atkinson,BRK,3,3,90,156,0.366,2019
Fred Hoiberg,CHI,4,4,115,155,0.426,2019
Jim Boylen,CHI,1,1,17,41,0.293,2019
James Borrego,CHO,1,2,49,63,0.438,2019
Tyronn Lue,CLE,4,4,128,83,0.607,2019
Larry Drew,CLE,1,5,162,226,0.418,2019
Rick Carlisle,DAL,11,17,751,627,0.545,2019
Michael Malone,DEN,4,6,212,222,0.488,2019
Dwane Casey,DET,1,10,414,348,0.543,2019
Steve Kerr,GSW,5,5,322,88,0.785,2019
Mike D'Antoni,HOU,3,15,628,499,0.557,2019
Nate McMillan,IND,3,15,616,560,0.524,2019
Doc Rivers,LAC,6,20,894,658,0.576,2019
Luke Walton,LAL,3,3,98,148,0.398,2019
J.B. Bickerstaff,MEM,2,3,85,131,0.394,2019
Erik Spoelstra,MIA,11,11,523,363,0.59,2019
Mike Budenholzer,MIL,1,6,273,219,0.555,2019
Tom Thibodeau,MIN,3,8,352,246,0.589,2019
Ryan Saunders,MIN,1,1,17,25,0.405,2019
Alvin Gentry,NOP,4,16,480,553,0.465,2019
