Team,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Atlanta Hawks,71661760,96315163,99992696,79180081,110702618,118804016,135166020,149836313,159153393,170057021,190318494,221278253,143103584,112934904
Boston Celtics,77141919,93465326,115284776,125334993,117759332,132931565,136557646,178633307,186940921,195348491,204311991,201437932,219312101,161745847
Brooklyn Nets,80258302,82391482,95475397,118850600,118889943,170444633,174811922,159566723,155015136,168312896,139805782,160105139,119334047,46411932
Charlotte Hornets,76860006,103054004,117382664,121427859,96552033,108218809,122139566,125874047,140774484,168575524,180776048,168061447,141515542,101882633
Chicago Bulls,87073838,92522306,90466801,112598201,112601901,128963580,136083814,151964990,165630436,165722496,176052328,161545080,141977480,68444704
Cleveland Cavaliers,108300458,128522489,137722926,123255073,131059022,129605319,136385911,151966241,166874287,165110486,228898634,228467363,180784512,171741453
Dallas Mavericks,75397067,102354966,85440245,86958881,120871082,127657823,126696965,177244238,167755884,174411922,210847259,197866094,187233338,89368560
Denver Nuggets,72589023,83836460,107543599,118327016,128746180,129793210,137963926,162338665,180922992,185864258,197664737,217739533,195049206,121572007
Detroit Pistons,77256014,106492988,119773191,126557932,104527576,117041599,131120355,129153570,139233014,140501660,170909241,153163826,125013908,91860409
Golden State Warriors,93669566,101584835,137610134,146291276,129254928,171105334,178980766,192386134,209354737,170316619,172242523,214864785,60754861,14812268
Houston Rockets,87504058,90956067,119905532,126474100,128109922,131784255,132267085,137579793,149356730,163038023,201150043,205487343,164971975,81674471
Indiana Pacers,71605233,90279072,95271736,110724804,112872260,130237102,138181486,125706114,148722330,169543082,185791168,203715395,208571172,88444288
Los Angeles Clippers,97019321,114756766,119093010,118026816,131506341,139722606,168378382,192905421,201366679,174124752,206491393,176949057,93524162,29404730
Los Angeles Lakers,72694352,94781848,103126557,107225482,123971686,139334713,164409293,169391473,169876920,192057940,203233649,201332759,201135669,170858141
Memphis Grizzlies,83223881,110083520,110700149,125188633,98495848,132022601,117284457,127139520,162649524,165903638,176212849,167642677,121980585,44196666
Miami Heat,85764781,100740770,133624374,153171497,129867871,134731235,140840240,151408266,177143542,176102077,194836455,198886535,171172923,93212209
Milwaukee Bucks,73843541,96245877,120521249,130988604,122612183,136623929,160875421,182930771,187346674,182559432,180845629,191358866,116758556,107445149
Minnesota Timberwolves,72287243,83527580,116075131,121962221,114202982,130334934,137432702,145793656,166434327,203708244,204804757,215871829,198046150,167653451
New Orleans Pelicans,83709371,101616451,120814452,116052756,117868297,133901495,135793968,148360910,167403924,172778396,192255503,202417220,154569359,74875969
New York Knicks,74237021,102593418,105403130,123387454,102137151,120644081,148987936,164990518,191906878,214703508,203751948,217948756,226434292,144555486
Oklahoma City Thunder,95708387,91230089,134534640,144916427,132017938,95774839,82022873,148856338,162515272,166418720,190199275,214798992,237689566,230873865
Orlando Magic,63199651,104096951,98700258,114394213,126095610,121739163,126786646,126107324,132643598,152308863,205894588,218125071,192930667,197412400
Philadelphia 76ers,64583220,84775343,100797386,115127167,129912339,147825311,148922969,150496913,166271894,171336738,191750451,209444444,208266056,208044183
Phoenix Suns,68095365,89754590,92684083,108692835,98539675,128858241,136476474,176042453,193838882,220708856,194395956,215794243,198703527,158117834
Portland Trail Blazers,61685814,119732234,118708146,130256600,131979953,131904647,124788473,144997250,165263993,167012048,189003937,194511148,181644147,67372684
Sacramento Kings,70610560,95596327,99587185,101466920,113796966,106847430,130457848,139423615,153564021,167811057,186063825,189346486,124432298,48740563
San Antonio Spurs,87832839,112017779,114633844,121588790,119217331,129537825,127655401,104545376,142867770,162395330,194469353,198315672,201629313,190043004
Toronto Raptors,71591189,108599970,116929373,137793831,122463495,129131910,134896484,150992313,163054678,170516134,197793840,200557925,166229339,123271894
Utah Jazz,63608425,80138192,105606838,113826156,118910311,136881324,149760719,148738241,133738448,154060898,153383114,179365019,170945467,132691831
Washington Wizards,85055155,104016580,123306396,123747588,121296256,131294012,128019790,152008934,150856313,173806822,162622594,186471414,178857371,94455967
