Rk,Team,Home,Road,E,W,Pre-ASG,Post-ASG,Season
1,Oklahoma City Thunder,36-6,32-8,29-1,39-13,44-10,24-4,2025
2,Cleveland Cavaliers,34-7,30-11,41-11,23-7,44-10,20-8,2025
3,Boston Celtics,28-13,33-8,39-13,22-8,39-16,22-5,2025
4,Houston Rockets,29-12,23-18,21-9,31-21,34-21,18-9,2025
5,New York Knicks,27-14,24-17,34-18,17-13,36-18,15-13,2025
6,Denver Nuggets,26-15,24-17,18-12,32-20,36-19,14-13,2025
7,Indiana Pacers,29-12,21-20,29-22,21-10,30-23,20-9,2025
8,Los Angeles Clippers,30-11,20-21,21-9,29-23,31-23,19-9,2025
9,Los Angeles Lakers,31-10,19-22,14-16,36-16,32-20,18-12,2025
10,Minnesota Timberwolves,25-16,24-17,16-14,33-19,31-25,18-8,2025
11,Golden State Warriors,24-17,24-17,19-11,29-23,28-27,20-7,2025
12,Memphis Grizzlies,26-15,22-19,21-10,27-24,36-18,16-12,2025
13,Milwaukee Bucks,28-14,20-20,31-21,17-13,29-24,19-10,2025
14,Detroit Pistons,22-19,22-19,29-23,15-15,29-26,15-12,2025
15,Orlando Magic,22-19,19-22,31-21,20-10,27-29,14-12,2025
16,Atlanta Hawks,21-19,19-23,30-22,20-10,26-29,14-13,2025
17,Sacramento Kings,20-21,20-21,14-16,26-26,28-27,15-12,2025
18,Chicago Bulls,18-23,21-20,28-24,19-11,22-33,17-10,2025
19,Dallas Mavericks,22-18,17-25,16-14,23-29,30-26,17-9,2025
20,Miami Heat,19-22,18-23,24-28,13-17,25-28,17-12,2025
21,Phoenix Suns,24-17,29-12,14-16,22-30,26-28,18-10,2025
22,Portland Trail Blazers,22-19,14-27,17-13,19-33,23-32,13-14,2025
23,San Antonio Spurs,20-21,14-27,18-12,22-30,23-29,19-11,2025
24,Toronto Raptors,18-23,29-12,21-31,21-9,17-38,13-14,2025
25,Brooklyn Nets,29-12,14-27,14-37,19-12,20-34,22-6,2025
26,Philadelphia 76ers,29-12,29-12,15-37,21-9,20-34,24-4,2025
27,New Orleans Pelicans,14-27,7-34,23-8,13-38,13-42,19-8,2025
28,Charlotte Hornets,29-12,7-34,10-42,21-9,13-39,24-6,2025
29,Washington Wizards,8-33,31-10,13-39,25-5,9-45,19-9,2025
30,Utah Jazz,31-10,7-34,21-9,8-44,13-41,24-4,2025
1,Boston Celtics,37-4,27-14,41-11,23-7,43-12,21-6,2024
2,Denver Nuggets,33-8,24-17,24-6,33-19,36-19,21-6,2024
3,Oklahoma City Thunder,33-8,24-17,21-9,36-16,37-17,20-8,2024
4,Minnesota Timberwolves,30-11,26-15,19-11,37-15,39-16,17-10,2024
5,Los Angeles Clippers,25-16,26-15,21-9,30-22,36-17,15-14,2024
6,Dallas Mavericks,25-16,25-16,19-11,31-21,32-23,18-9,2024
7,New York Knicks,27-14,23-18,35-17,15-15,33-22,17-10,2024
8,Milwaukee Bucks,31-11,18-22,34-18,15-15,35-21,14-12,2024
9,New Orleans Pelicans,21-19,28-14,19-11,30-22,33-22,16-11,2024
10,Phoenix Suns,25-16,24-17,20-10,29-23,33-22,16-11,2024
11,Cleveland Cavaliers,26-15,22-19,31-21,17-13,36-17,17-12,2024
12,Indiana Pacers,26-15,21-20,32-20,15-15,31-25,16-10,2024
13,Los Angeles Lakers,28-14,19-21,20-10,27-25,30-26,17-9,2024
